source file name , phase name , phase input files , phase output file , arch , tool, metric , unit
C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu , cl.exe (preprocessing 4) , C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-6_meteoformulas.cpp4.ii ,  , nvcc , 164.3794 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelGround.cu , cl.exe (preprocessing 4) , C:/OwnPrograms/skewTCloudSim/Game/kernelGround.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008fbc_00000000-6_kernelGround.cpp4.ii ,  , nvcc , 301.7415 , ms
C:/OwnPrograms/skewTCloudSim/Game/microPhysics.cu , cl.exe (preprocessing 4) , C:/OwnPrograms/skewTCloudSim/Game/microPhysics.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_000097c0_00000000-6_microPhysics.cpp4.ii ,  , nvcc , 303.1449 , ms
C:/OwnPrograms/skewTCloudSim/Game/dataClass.cu , cl.exe (preprocessing 4) , C:/OwnPrograms/skewTCloudSim/Game/dataClass.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00000ca0_00000000-6_dataClass.cpp4.ii ,  , nvcc , 367.9987 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelTest.cu , cl.exe (preprocessing 4) , C:/OwnPrograms/skewTCloudSim/Game/kernelTest.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008bc8_00000000-6_kernelTest.cpp4.ii ,  , nvcc , 351.6911 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelMaths.cu , cl.exe (preprocessing 4) , C:/OwnPrograms/skewTCloudSim/Game/kernelMaths.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_000092c8_00000000-6_kernelMaths.cpp4.ii ,  , nvcc , 374.8053 , ms
C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu , cudafe++ , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-6_meteoformulas.cpp4.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-7_meteoformulas.compute_52.cudafe1.cpp , compute_52 , nvcc , 237.3502 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelSky.cu , cl.exe (preprocessing 4) , C:/OwnPrograms/skewTCloudSim/Game/kernelSky.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008d50_00000000-6_kernelSky.cpp4.ii ,  , nvcc , 423.6927 , ms
C:/OwnPrograms/skewTCloudSim/Game/environment.cu , cl.exe (preprocessing 4) , C:/OwnPrograms/skewTCloudSim/Game/environment.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_0000949c_00000000-6_environment.cpp4.ii ,  , nvcc , 433.0106 , ms
C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-13_meteoformulas.compute_75.cpp1.ii , compute_75 , nvcc , 194.8890 , ms
